進出口別,日期,貨品號列,中文貨名,英文貨名,國家,美元(千元)
出口總值(含復出口),110年1月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1937
出口總值(含復出口),110年1月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7931
出口總值(含復出口),110年2月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2782
出口總值(含復出口),110年2月,95063900006,其他高爾夫球設備, Other golf equipment,美國,5269
出口總值(含復出口),110年3月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2510
出口總值(含復出口),110年3月,95063900006,其他高爾夫球設備, Other golf equipment,美國,6436
出口總值(含復出口),110年4月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2523
出口總值(含復出口),110年4月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7615
出口總值(含復出口),110年5月,95063900006,其他高爾夫球設備, Other golf equipment,日本,3001
出口總值(含復出口),110年5月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7447
出口總值(含復出口),110年6月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2227
出口總值(含復出口),110年6月,95063900006,其他高爾夫球設備, Other golf equipment,美國,4608
出口總值(含復出口),110年7月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2196
出口總值(含復出口),110年7月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7217
出口總值(含復出口),110年8月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2833
出口總值(含復出口),110年8月,95063900006,其他高爾夫球設備, Other golf equipment,美國,5893
出口總值(含復出口),110年9月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2700
出口總值(含復出口),110年9月,95063900006,其他高爾夫球設備, Other golf equipment,美國,4760
出口總值(含復出口),110年10月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2694
出口總值(含復出口),110年10月,95063900006,其他高爾夫球設備, Other golf equipment,美國,9787
出口總值(含復出口),110年11月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2438
出口總值(含復出口),110年11月,95063900006,其他高爾夫球設備, Other golf equipment,美國,8596
出口總值(含復出口),110年12月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2154
出口總值(含復出口),110年12月,95063900006,其他高爾夫球設備, Other golf equipment,美國,10383
出口總值(含復出口),111年1月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2348
出口總值(含復出口),111年1月,95063900006,其他高爾夫球設備, Other golf equipment,美國,8795
出口總值(含復出口),111年2月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1663
出口總值(含復出口),111年2月,95063900006,其他高爾夫球設備, Other golf equipment,美國,10975
出口總值(含復出口),111年3月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2388
出口總值(含復出口),111年3月,95063900006,其他高爾夫球設備, Other golf equipment,美國,8584
出口總值(含復出口),111年4月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2609
出口總值(含復出口),111年4月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7978
出口總值(含復出口),111年5月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2589
出口總值(含復出口),111年5月,95063900006,其他高爾夫球設備, Other golf equipment,美國,8800
出口總值(含復出口),111年6月,95063900006,其他高爾夫球設備, Other golf equipment,日本,3765
出口總值(含復出口),111年6月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7706
出口總值(含復出口),111年7月,95063900006,其他高爾夫球設備, Other golf equipment,日本,3667
出口總值(含復出口),111年7月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7660
出口總值(含復出口),111年8月,95063900006,其他高爾夫球設備, Other golf equipment,日本,3371
出口總值(含復出口),111年8月,95063900006,其他高爾夫球設備, Other golf equipment,美國,6776
出口總值(含復出口),111年9月,95063900006,其他高爾夫球設備, Other golf equipment,日本,3114
出口總值(含復出口),111年9月,95063900006,其他高爾夫球設備, Other golf equipment,美國,6853
出口總值(含復出口),111年10月,95063900006,其他高爾夫球設備, Other golf equipment,日本,3190
出口總值(含復出口),111年10月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7391
出口總值(含復出口),111年11月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2458
出口總值(含復出口),111年11月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7252
出口總值(含復出口),111年12月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2547
出口總值(含復出口),111年12月,95063900006,其他高爾夫球設備, Other golf equipment,美國,8387
出口總值(含復出口),112年1月,95063900006,其他高爾夫球設備, Other golf equipment,日本,3306
出口總值(含復出口),112年1月,95063900006,其他高爾夫球設備, Other golf equipment,美國,6320
出口總值(含復出口),112年2月,95063900006,其他高爾夫球設備, Other golf equipment,日本,3022
出口總值(含復出口),112年2月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7516
出口總值(含復出口),112年3月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2310
出口總值(含復出口),112年3月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7748
出口總值(含復出口),112年4月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2309
出口總值(含復出口),112年4月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7345
出口總值(含復出口),112年5月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2222
出口總值(含復出口),112年5月,95063900006,其他高爾夫球設備, Other golf equipment,美國,4900
出口總值(含復出口),112年6月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2717
出口總值(含復出口),112年6月,95063900006,其他高爾夫球設備, Other golf equipment,美國,3488
出口總值(含復出口),112年7月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2692
出口總值(含復出口),112年7月,95063900006,其他高爾夫球設備, Other golf equipment,美國,3449
出口總值(含復出口),112年8月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2135
出口總值(含復出口),112年8月,95063900006,其他高爾夫球設備, Other golf equipment,美國,4463
出口總值(含復出口),112年9月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2164
出口總值(含復出口),112年9月,95063900006,其他高爾夫球設備, Other golf equipment,美國,2717
出口總值(含復出口),112年10月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1790
出口總值(含復出口),112年10月,95063900006,其他高爾夫球設備, Other golf equipment,美國,4677
出口總值(含復出口),112年11月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2256
出口總值(含復出口),112年11月,95063900006,其他高爾夫球設備, Other golf equipment,美國,5420
出口總值(含復出口),112年12月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2020
出口總值(含復出口),112年12月,95063900006,其他高爾夫球設備, Other golf equipment,美國,5191
出口總值(含復出口),113年1月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1930
出口總值(含復出口),113年1月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7250
出口總值(含復出口),113年2月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1585
出口總值(含復出口),113年2月,95063900006,其他高爾夫球設備, Other golf equipment,美國,6225
出口總值(含復出口),113年3月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1774
出口總值(含復出口),113年3月,95063900006,其他高爾夫球設備, Other golf equipment,美國,8050
出口總值(含復出口),113年4月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2066
出口總值(含復出口),113年4月,95063900006,其他高爾夫球設備, Other golf equipment,美國,5684
出口總值(含復出口),113年5月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2061
出口總值(含復出口),113年5月,95063900006,其他高爾夫球設備, Other golf equipment,美國,6429
出口總值(含復出口),113年6月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2029
出口總值(含復出口),113年6月,95063900006,其他高爾夫球設備, Other golf equipment,美國,5801
出口總值(含復出口),113年7月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1592
出口總值(含復出口),113年7月,95063900006,其他高爾夫球設備, Other golf equipment,美國,4242
出口總值(含復出口),113年8月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2187
出口總值(含復出口),113年8月,95063900006,其他高爾夫球設備, Other golf equipment,美國,4092
出口總值(含復出口),113年9月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1729
出口總值(含復出口),113年9月,95063900006,其他高爾夫球設備, Other golf equipment,美國,4223
出口總值(含復出口),113年10月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2008
出口總值(含復出口),113年10月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7004
出口總值(含復出口),113年11月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1703
出口總值(含復出口),113年11月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7772
出口總值(含復出口),113年12月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2086
出口總值(含復出口),113年12月,95063900006,其他高爾夫球設備, Other golf equipment,美國,12262
出口總值(含復出口),114年1月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2924
出口總值(含復出口),114年1月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7447
出口總值(含復出口),114年2月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1716
出口總值(含復出口),114年2月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7600
出口總值(含復出口),114年3月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1967
出口總值(含復出口),114年3月,95063900006,其他高爾夫球設備, Other golf equipment,美國,8297
出口總值(含復出口),114年4月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2038
出口總值(含復出口),114年4月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7326
出口總值(含復出口),114年5月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1377
出口總值(含復出口),114年5月,95063900006,其他高爾夫球設備, Other golf equipment,美國,8649
出口總值(含復出口),114年6月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2030
出口總值(含復出口),114年6月,95063900006,其他高爾夫球設備, Other golf equipment,美國,6169
出口總值(含復出口),114年7月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1307
出口總值(含復出口),114年7月,95063900006,其他高爾夫球設備, Other golf equipment,美國,6028
出口總值(含復出口),114年8月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1884
出口總值(含復出口),114年8月,95063900006,其他高爾夫球設備, Other golf equipment,美國,8786
出口總值(含復出口),114年9月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1626
出口總值(含復出口),114年9月,95063900006,其他高爾夫球設備, Other golf equipment,美國,7620
出口總值(含復出口),114年10月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2023
出口總值(含復出口),114年10月,95063900006,其他高爾夫球設備, Other golf equipment,美國,12920
出口總值(含復出口),114年11月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2088
出口總值(含復出口),114年11月,95063900006,其他高爾夫球設備, Other golf equipment,美國,11802
出口總值(含復出口),114年12月,95063900006,其他高爾夫球設備, Other golf equipment,日本,2485
出口總值(含復出口),114年12月,95063900006,其他高爾夫球設備, Other golf equipment,美國,12057
出口總值(含復出口),115年1月,95063900006,其他高爾夫球設備, Other golf equipment,日本,1685
出口總值(含復出口),115年1月,95063900006,其他高爾夫球設備, Other golf equipment,美國,10432
出口總值(含復出口),115年2月(初步值),95063900006,其他高爾夫球設備, Other golf equipment,日本,1834
出口總值(含復出口),115年2月(初步值),95063900006,其他高爾夫球設備, Other golf equipment,美國,9487
出口總值(含復出口),115年3月(初步值),95063900006,其他高爾夫球設備, Other golf equipment,日本,1791
出口總值(含復出口),115年3月(初步值),95063900006,其他高爾夫球設備, Other golf equipment,美國,10887
